Advertiser,Brand Root,Brand (Major),Brand (Minor),Brand (Leaf),Publisher,Date,Device,Direct/Indirect,Type,First Seen,Last Seen,Creative Text,Link to Creative,Creative ID,Spend (USD),Impressions
"Pharmavite, LLC.",Nature Made,Nature Made Wellblends,Nature Made Wellblends,Nature Made Wellblends,walmart.com,12/29/23,Desktop Display,Indirect,HTML5,12/26/23,2/1/24,Start your day Make Nature Made* a part of your morning routine. Shop now Nature Made Nature Made GUMMIES D3 B12 250 mg - - - - - 1000 mc - - - CHERRY - -,https://s3.amazonaws.com/YM_Ads/h7BULxdXDPLwPZMquTbi5g.png,492417215,1077.6156,87340
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,YouTube,12/29/23,YouTube,Direct,Video,8/18/23,12/29/23,"Start your day with nature M, the number one pharmacist recommended vitamin and supplement brand.",https://s3.amazonaws.com/YM_Ads/zsN10DyOY9QnGfH6u1ia6g.mp4,444590144,401.9309,26268
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,YouTube,12/29/23,YouTube,Direct,Video,10/1/23,4/12/24,"Start your day with nature. May the number one pharmacist, recommended vitamin and supplement brand.",https://s3.amazonaws.com/YM_Ads/ehY-e3QLglNeJqn_47JtdA.mp4,459444958,1607.7236,105072
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,YouTube,12/29/23,YouTube,Direct,Video,8/18/23,12/30/23,"Start your day with nature M, the number one pharmacist recommended vitamin and supplement brand.",https://s3.amazonaws.com/YM_Ads/KzgTxfcyI3rJxNQo0jyx9A.mp4,444561157,4019.3091,262680
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies,Nature Made Gummies,YouTube,12/29/23,YouTube,Direct,Video,8/31/23,4/12/24,Start your day with Nature Me. The number one pharmacist recommended vitamin and supplement brand.,https://s3.amazonaws.com/YM_Ads/PvOOi8IpKBqN6RyZ6uer2w.mp4,449086236,6229.9292,407154
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,YouTube,12/29/23,YouTube,Direct,Video,8/31/23,4/12/24,"Start your day with nature. May the number one pharmacist, recommended vitamin and supplement brand.",https://s3.amazonaws.com/YM_Ads/MnaoiV44YY7OIRUKkl77ng.mp4,449100991,602.8964,39402
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Facebook,12/30/23,Facebook,Direct,Video Post,10/3/21,1/1/24,"Support your immune system now with Nature Made Vitamin D Extra Strength and celebrate the moments ahead later.† †This statement has not been evaluated by the Food and Drug Administration. These products are not intended to diagnose, treat, c ... See more",https://s3.amazonaws.com/YM_Ads/720371096801805.png,459276597,458.217,61037
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Facebook,12/30/23,Facebook,Direct,Link Post,10/1/23,1/1/24,Support your immune system now and enjoy moments ahead later with Nature Made Vitamin D Extra Strength.† ... See more,https://s3.amazonaws.com/YM_Ads/720369640135284.png,459279315,2291.085,305185
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Facebook,12/30/23,Facebook,Direct,Video Post,1/9/23,1/1/24,Jump start your day by adding the #1 Pharmacist recommended vitamin and supplement brand to your morning routine.* *Based on a survey of Pharmacists who recommend branded vitamins and supplements.,https://s3.amazonaws.com/YM_Ads/10159847527049713.png,391940065,1374.651,183111
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Facebook,12/30/23,Facebook,Direct,Carousel Post,3/22/23,4/12/24,Get your daily vitamins and supplements delivered right to your door. Save 25% off your first order with code SHOP25.*,https://s3.amazonaws.com/YM_Ads/10159962673059713.png,405230293,458.217,61037
